folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-16_-38,-16,-38,CHEES_-28_4200.csv,-28,4200,1.39749746757558,3.44419694281403,3.38829704411101
-7_-34,-7,-34,CHEES_-27_4200.csv,-27,4200,1.39788713785509,3.78728508994889,3.73136960443469
-12_-36,-12,-36,CHEES_-27_4200.csv,-27,4200,1.39839889731773,3.69990164033302,3.64396568444031
-24_-44,-24,-44,CHEES_-29_4200.csv,-29,4200,1.39848303265396,3.21674182874823,3.16080250744207
-14_-37,-14,-37,CHEES_-28_4200.csv,-28,4200,1.39865440938232,3.47272628135941,3.41678010498411
-6_-34,-6,-34,CHEES_-27_4200.csv,-27,4200,1.39925973626806,3.78332149678987,3.72735110733915
-26_-46,-26,-46,CHEES_-30_4200.csv,-30,4200,1.4005023555539,3.09111307483249,3.03509298061034
-5_-34,-5,-34,CHEES_-27_4200.csv,-27,4200,1.40072326547259,3.7813485308931,3.72531960027419
-8_-35,-8,-35,CHEES_-27_4200.csv,-27,4200,1.40136280117237,3.73682437628803,3.68076986424114
-18_-40,-18,-40,CHEES_-28_4200.csv,-28,4200,1.40174112591895,3.3887130129408,3.33264336790404
-7_-35,-7,-35,CHEES_-27_4200.csv,-27,4200,1.40244127233619,3.73340487372318,3.67730722282973
-10_-36,-10,-36,CHEES_-27_4200.csv,-27,4200,1.40266739844324,3.69132928437723,3.6352225884395
-14_-38,-14,-38,CHEES_-28_4200.csv,-28,4200,1.40335283154278,3.43201461507875,3.37588050181704
-12_-37,-12,-37,CHEES_-28_4200.csv,-28,4200,1.40361609330725,3.46193663281292,3.40579198908063
-28_-48,-28,-48,CHEES_-31_4200.csv,-31,4200,1.40368043990782,3.0003556843334,2.94420846673708
-6_-35,-6,-35,CHEES_-27_4200.csv,-27,4200,1.40401227511814,3.7306328979372,3.67447240693248
-20_-42,-20,-42,CHEES_-29_4200.csv,-29,4200,1.40483055259027,3.19904275591658,3.14284953381297
-5_-35,-5,-35,CHEES_-27_4200.csv,-27,4200,1.40555086447641,3.72651834534597,3.67029631076691
-8_-36,-8,-36,CHEES_-27_4200.csv,-27,4200,1.40653397374009,3.6837940613777,3.6275327024281
-10_-37,-10,-37,CHEES_-28_4200.csv,-28,4200,1.40775359574178,3.45441055942573,3.39810041559606
