folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-22_-48,-22,-48,CHEES_-35_4800.csv,-35,4800,2.437924243,2.366752137,1.779302638
-24_-48,-24,-48,CHEES_-35_4800.csv,-35,4800,2.448619571,2.377878251,1.768533005
-26_-48,-26,-48,CHEES_-35_4900.csv,-35,4900,2.462496787,2.389735307,1.819037008
-28_-48,-28,-48,CHEES_-35_4900.csv,-35,4900,2.481074733,2.408971864,1.802571711
-30_-48,-30,-48,CHEES_-35_4900.csv,-35,4900,2.508446083,2.437183474,1.781565218
-5_-50,-5,-50,CHEES_-35_4800.csv,-35,4800,2.405136302,2.332847215,1.807227175
-6_-50,-6,-50,CHEES_-35_4800.csv,-35,4800,2.406495644,2.334277593,1.805451283
-7_-50,-7,-50,CHEES_-35_4800.csv,-35,4800,2.408018615,2.335874892,1.803593095
-8_-50,-8,-50,CHEES_-35_4800.csv,-35,4800,2.409449404,2.337394052,1.8013838
-10_-50,-10,-50,CHEES_-35_4800.csv,-35,4800,2.413086008,2.341169254,1.79791886
-12_-50,-12,-50,CHEES_-35_4800.csv,-35,4800,2.416669939,2.344965736,1.792605076
-14_-50,-14,-50,CHEES_-35_4800.csv,-35,4800,2.420979419,2.349492212,1.78718016
-16_-50,-16,-50,CHEES_-35_4800.csv,-35,4800,2.426129912,2.354886589,1.781083081
-18_-50,-18,-50,CHEES_-35_4800.csv,-35,4800,2.432297566,2.361326506,1.774276505
-20_-50,-20,-50,CHEES_-35_4800.csv,-35,4800,2.439712036,2.369053609,1.766460654
-22_-50,-22,-50,CHEES_-35_4800.csv,-35,4800,2.448728902,2.378433805,1.757377422
-24_-50,-24,-50,CHEES_-35_4800.csv,-35,4800,2.460316835,2.390438598,1.746955917
-26_-50,-26,-50,CHEES_-35_4800.csv,-35,4800,2.475084569,2.405710073,1.734362404
-28_-50,-28,-50,CHEES_-35_4900.csv,-35,4900,2.495384932,2.424249872,1.778376488
-30_-50,-30,-50,CHEES_-35_4900.csv,-35,4900,2.523719529,2.453368192,1.758783417
-5_-52,-5,-52,CHEES_-35_4800.csv,-35,4800,2.412900568,2.341269775,1.790769834
-6_-52,-6,-52,CHEES_-35_4800.csv,-35,4800,2.414318254,2.342763738,1.788862912
-7_-52,-7,-52,CHEES_-35_4800.csv,-35,4800,2.41595141,2.344464433,1.787174427
-8_-52,-8,-52,CHEES_-35_4800.csv,-35,4800,2.417603023,2.346196184,1.785170972
-10_-52,-10,-52,CHEES_-35_4800.csv,-35,4800,2.42121339,2.349980142,1.78083119
-12_-52,-12,-52,CHEES_-35_4800.csv,-35,4800,2.425348018,2.354315823,1.775804875
-14_-52,-14,-52,CHEES_-35_4800.csv,-35,4800,2.430134601,2.35932464,1.770249034
-16_-52,-16,-52,CHEES_-35_4800.csv,-35,4800,2.435642355,2.365071505,1.764271265
-18_-52,-18,-52,CHEES_-35_4800.csv,-35,4800,2.442134076,2.371850048,1.757100697
