folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-10_-48,-10,-48,CHEES_-31_4200.csv,-31,4200,1.42308967286529,8.72658957624567,3.03423088478451
-10_-40,-10,-40,CHEES_-28_4200.csv,-28,4200,1.4239466066839,8.97732658724143,3.28154016050582
-24_-48,-24,-48,CHEES_-30_4200.csv,-30,4200,1.42422829611566,8.66022300232441,2.96330981786176
-14_-42,-14,-42,CHEES_-29_4200.csv,-29,4200,1.42452124811354,8.79264422188582,3.09455922943165
-18_-44,-18,-44,CHEES_-29_4200.csv,-29,4200,1.42457469698043,8.77361939284737,3.07532060492566
-26_-50,-26,-50,CHEES_-31_4200.csv,-31,4200,1.42681716729655,8.57883380842215,2.87156513923596
-8_-40,-8,-40,CHEES_-29_4200.csv,-29,4200,1.42756179702479,8.83473560678687,3.12448841868771
-20_-46,-20,-46,CHEES_-30_4200.csv,-30,4200,1.42803410774694,8.64899438302686,2.93685795203911
-7_-40,-7,-40,CHEES_-29_4200.csv,-29,4200,1.42943157353686,8.83946881752199,3.12174252337454
-12_-42,-12,-42,CHEES_-29_4200.csv,-29,4200,1.42967331807599,8.80246090910271,3.08376763679874
-16_-44,-16,-44,CHEES_-29_4200.csv,-29,4200,1.4305696834278,8.78249257143649,3.0602138377253
-28_-52,-28,-52,CHEES_-32_4200.csv,-32,4200,1.43081108360016,8.52760979699868,2.80436546259805
-6_-40,-6,-40,CHEES_-28_4200.csv,-28,4200,1.43098190968239,8.99064117584796,3.26671353711841
-5_-40,-5,-40,CHEES_-29_4200.csv,-29,4200,1.4325381322656,8.84537958582004,3.11522705675763
-22_-48,-22,-48,CHEES_-31_4200.csv,-31,4200,1.43266145031224,8.55748812669945,2.82684232545048
-10_-42,-10,-42,CHEES_-29_4200.csv,-29,4200,1.43371101216162,8.80985562111666,3.07501157247018
-18_-46,-18,-46,CHEES_-30_4200.csv,-30,4200,1.43489209190779,8.65797236941421,2.91840400178304
-30_-54,-30,-54,CHEES_-33_4200.csv,-33,4200,1.43568669319058,8.5020670785997,2.75932030583738
-24_-50,-24,-50,CHEES_-31_4200.csv,-31,4200,1.43576341892949,8.5779842569206,2.83493058120263
-14_-44,-14,-44,CHEES_-29_4200.csv,-29,4200,1.43610854639163,8.79108147364802,3.04664728808148
-8_-42,-8,-42,CHEES_-29_4200.csv,-29,4200,1.43730895943954,8.81752518137243,3.06828934361426
-7_-42,-7,-42,CHEES_-29_4200.csv,-29,4200,1.43897024354653,8.82101044348116,3.06512946929505
-26_-52,-26,-52,CHEES_-32_4200.csv,-32,4200,1.43962239938868,8.52008909188953,2.76159949433483
-20_-48,-20,-48,CHEES_-31_4200.csv,-31,4200,1.44004413211406,8.56680689636057,2.80663036790433
-6_-42,-6,-42,CHEES_-29_4200.csv,-29,4200,1.44050011381069,8.82411493171015,3.06211447646738
-12_-44,-12,-44,CHEES_-30_4200.csv,-30,4200,1.44085572650737,8.67981762797977,2.91639472195029
-8_-46,-8,-46,CHEES_-29_4200.csv,-29,4200,1.44218840707826,8.87920705018089,3.11045342186787
-5_-42,-5,-42,CHEES_-29_4200.csv,-29,4200,1.44231149359171,8.82783771058612,3.05859173621929
-28_-54,-28,-54,CHEES_-32_4200.csv,-32,4200,1.4436162265279,8.5693347819214,2.79486987580979
-22_-50,-22,-50,CHEES_-31_4200.csv,-31,4200,1.44367120816624,8.58324758474988,2.8085627520849
