folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.8_-5_-44,-5,-44,CHEES_-24_5300.csv,-24,5300,5.2709215186426,5.20632013614884,0.0646013824937655
0.8_-5_-60,-5,-60,CHEES_-32_5300.csv,-32,5300,5.27092153903903,5.2063921393349,0.0645293997041344
0.8_-6_-54,-6,-54,CHEES_-30_5300.csv,-30,5300,5.27092173757684,5.20653620007491,0.0643855375019255
0.8_-8_-56,-8,-56,CHEES_-32_5300.csv,-32,5300,5.27092190342111,5.20653561881675,0.0643862846043634
0.8_-16_-48,-16,-48,CHEES_-32_5300.csv,-32,5300,5.27092198767084,5.20653601266743,0.0643859750034067
0.8_-20_-48,-20,-48,CHEES_-34_5300.csv,-34,5300,5.27092548768423,5.20653968474569,0.0643858029385446
0.8_-16_-52,-16,-52,CHEES_-34_5300.csv,-34,5300,5.27092560290471,5.20654061673766,0.064384986167049
0.8_-18_-44,-18,-44,CHEES_-31_5300.csv,-31,5300,5.27092564647969,5.20654203043584,0.064383616043853
0.8_-14_-44,-14,-44,CHEES_-29_5300.csv,-29,5300,5.27092730311159,5.20654056165756,0.0643867414540335
0.8_-28_-40,-28,-40,CHEES_-34_5300.csv,-34,5300,5.27092798585403,5.20654501952855,0.0643829663254819
0.8_-22_-48,-22,-48,CHEES_-35_5300.csv,-35,5300,5.27093048987056,5.20654283348792,0.064387656382639
0.8_-16_-34,-16,-34,CHEES_-25_5300.csv,-25,5300,5.27093074274736,5.20654560413405,0.064385138613317
0.8_-24_-38,-24,-38,CHEES_-31_5300.csv,-31,5300,5.27093134774965,5.20654710492773,0.0643842428219147
0.8_-18_-42,-18,-42,CHEES_-30_5300.csv,-30,5300,5.27093149476449,5.20654497669992,0.0643865180645704
0.8_-8_-46,-8,-46,CHEES_-27_5300.csv,-27,5300,5.27093152146781,5.20654284402783,0.0643886774399827
0.8_-30_-34,-30,-34,CHEES_-32_5300.csv,-32,5300,5.27093199989963,5.20654819205443,0.0643838078451984
0.8_-12_-40,-12,-40,CHEES_-26_5300.csv,-26,5300,5.27093284815956,5.20654624708891,0.0643866010706432
0.8_-5_-46,-5,-46,CHEES_-25_5300.csv,-25,5300,5.27093335395072,5.20634081370555,0.0645925402451633
0.8_-5_-50,-5,-50,CHEES_-27_5300.csv,-27,5300,5.27093442947274,5.20636200099399,0.0645724284787451
0.8_-7_-42,-7,-42,CHEES_-24_5300.csv,-24,5300,5.27093454693537,5.20630465010256,0.0646298968328074
0.8_-30_-40,-30,-40,CHEES_-35_5300.csv,-35,5300,5.27093467402026,5.20655080360965,0.0643838704106053
0.8_-22_-40,-22,-40,CHEES_-31_5300.csv,-31,5300,5.27093527873082,5.20654977997287,0.0643854987579476
0.8_-16_-50,-16,-50,CHEES_-33_5300.csv,-33,5300,5.2709364207423,5.20654825334596,0.0643881673963341
0.8_-6_-50,-6,-50,CHEES_-28_5300.csv,-28,5300,5.27093664356317,5.20654972342732,0.0643869201358549
0.8_-18_-36,-18,-36,CHEES_-27_5300.csv,-27,5300,5.27093770596023,5.20655269133038,0.0643850146298527
0.8_-8_-50,-8,-50,CHEES_-29_5300.csv,-29,5300,5.27093776373851,5.20654437775876,0.064393385979743
0.8_-30_-36,-30,-36,CHEES_-33_5300.csv,-33,5300,5.27093851415727,5.20655176171417,0.0643867524430982
0.8_-12_-50,-12,-50,CHEES_-31_5300.csv,-31,5300,5.27094047905858,5.20655124946428,0.0643892295943063
0.8_-24_-42,-24,-42,CHEES_-33_5300.csv,-33,5300,5.27094117818566,5.20655064609423,0.064390532091426
0.8_-14_-46,-14,-46,CHEES_-30_5300.csv,-30,5300,5.27094197991507,5.20655002903581,0.0643919508792589
0.8_-20_-46,-20,-46,CHEES_-33_5300.csv,-33,5300,5.27094244791214,5.20655329251251,0.0643891553996353
0.8_-10_-42,-10,-42,CHEES_-26_5300.csv,-26,5300,5.2709437029573,5.20654948566711,0.0643942172901957
0.8_-26_-40,-26,-40,CHEES_-33_5300.csv,-33,5300,5.27094465697094,5.2065548956331,0.0643897613378367
0.8_-22_-46,-22,-46,CHEES_-34_5300.csv,-34,5300,5.27094587499271,5.20655671948461,0.0643891555080993
0.8_-12_-48,-12,-48,CHEES_-30_5300.csv,-30,5300,5.2709474829589,5.20655323449457,0.0643942484643299
0.8_-26_-38,-26,-38,CHEES_-32_5300.csv,-32,5300,5.27094910665872,5.20655850005783,0.0643906066008915
0.8_-26_-32,-26,-32,CHEES_-29_5300.csv,-29,5300,5.27094991307814,5.20655880233088,0.064391110747255
0.8_-22_-44,-22,-44,CHEES_-33_5300.csv,-33,5300,5.27095022113786,5.20655894776808,0.0643912733697857
0.8_-7_-46,-7,-46,CHEES_-26_5300.csv,-26,5300,5.27095039554464,5.20634177805446,0.0646086174901825
0.8_-14_-38,-14,-38,CHEES_-26_5300.csv,-26,5300,5.27095217912774,5.20655710795647,0.0643950711712662
0.8_-22_-34,-22,-34,CHEES_-28_5300.csv,-28,5300,5.27095311586911,5.20656228124612,0.0643908346229926
0.8_-26_-36,-26,-36,CHEES_-31_5300.csv,-31,5300,5.27095354791105,5.20655696469991,0.0643965832111366
0.8_-18_-38,-18,-38,CHEES_-28_5300.csv,-28,5300,5.27095601787591,5.20656376945613,0.0643922484197888
0.8_-20_-40,-20,-40,CHEES_-30_5300.csv,-30,5300,5.27095611349144,5.2065643459909,0.064391767500544
0.8_-16_-42,-16,-42,CHEES_-29_5300.csv,-29,5300,5.27095881388462,5.20656232826176,0.0643964856228602
