folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
0.8_-7_-35,-7,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
0.8_-8_-35,-8,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
0.8_-30_-40,-30,-40,CHEES_-35_5400.csv,-35,5400,1.07254017434513,3.18654230265541,3.06737117217261
0.8_-18_-36,-18,-36,CHEES_-35_5200.csv,-35,5200,1.07326840104807,3.59487987660955,3.47562783204865
0.8_-20_-36,-20,-36,CHEES_-34_5400.csv,-34,5400,1.07350830201808,3.63310080112127,3.51382210089704
0.8_-22_-37,-22,-37,CHEES_-35_5300.csv,-35,5300,1.07359655394863,3.43416501509678,3.31487650910249
0.8_-26_-32,-26,-32,CHEES_-31_5500.csv,-31,5500,1.07375531456198,4.36693087943643,4.24762473337399
0.8_-14_-36,-14,-36,CHEES_-35_5200.csv,-35,5200,1.07428136611933,3.59461123904488,3.4752466428094
0.8_-12_-36,-12,-36,CHEES_-35_5200.csv,-35,5200,1.07446401610671,3.59710018822362,3.4777152975451
0.8_-10_-32,-10,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-12_-32,-12,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-14_-32,-14,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-16_-32,-16,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-18_-32,-18,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-20_-32,-20,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-22_-32,-22,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-24_-32,-24,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-5_-32,-5,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-6_-32,-6,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-7_-32,-7,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-8_-32,-8,-32,CHEES_-32_5400.csv,-32,5400,1.07452714606036,4.25691845948367,4.13752655436586
0.8_-20_-37,-20,-37,CHEES_-35_5300.csv,-35,5300,1.07468499996719,3.46370576680872,3.34429632236792
0.8_-24_-38,-24,-38,CHEES_-34_5400.csv,-34,5400,1.07518305960233,3.48099864470391,3.36153386030365
0.8_-28_-40,-28,-40,CHEES_-35_5400.csv,-35,5400,1.07539311388535,3.21251875789126,3.09303063412623
0.8_-16_-36,-16,-36,CHEES_-34_5300.csv,-34,5300,1.07541326781868,3.68135841586639,3.56186805277543
0.8_-8_-36,-8,-36,CHEES_-35_5200.csv,-35,5200,1.07551712345841,3.59457759746956,3.47507569486307
0.8_-22_-38,-22,-38,CHEES_-35_5300.csv,-35,5300,1.07575600261096,3.4103037056534,3.29077526091885
0.8_-5_-36,-5,-36,CHEES_-35_5200.csv,-35,5200,1.07605018312753,3.59608477623042,3.47652364477181
0.8_-10_-36,-10,-36,CHEES_-35_5200.csv,-35,5200,1.07618796836687,3.64737674533626,3.5278003044066
0.8_-18_-37,-18,-37,CHEES_-35_5300.csv,-35,5300,1.07620929429142,3.44922962290142,3.3296508124246
0.8_-6_-36,-6,-36,CHEES_-35_5200.csv,-35,5200,1.07659271955975,3.6435856223698,3.52396420908538
0.8_-7_-36,-7,-36,CHEES_-35_5200.csv,-35,5200,1.07666172121843,3.64692803054641,3.52729895041103
0.8_-16_-37,-16,-37,CHEES_-35_5300.csv,-35,5300,1.07713584170992,3.43623311397654,3.31655135378655
0.8_-20_-38,-20,-38,CHEES_-35_5300.csv,-35,5300,1.07766596434904,3.384107662725,3.26436700001956
0.8_-12_-37,-12,-37,CHEES_-35_5300.csv,-35,5300,1.07798876675977,3.46503552290172,3.34525899326175
0.8_-26_-40,-26,-40,CHEES_-35_5400.csv,-35,5400,1.07816658905388,3.21695777874868,3.09716149107602
0.8_-10_-37,-10,-37,CHEES_-35_5300.csv,-35,5300,1.07870148259261,3.48312833555541,3.36327261526734
0.8_-18_-38,-18,-38,CHEES_-35_5300.csv,-35,5300,1.07916273083036,3.41349522888172,3.29358825878946
0.8_-7_-37,-7,-37,CHEES_-35_5300.csv,-35,5300,1.07925968737767,3.4691492487497,3.34923150570774
