folder,param1,param2,best_p,csv_name,c,d,avg_delta_term,avg_mu_raw_term
-22_-46,-22,-46,0.0412465165604193,CHEES_-35_4900.csv,-35,4900,0.039402335872751,0.0663905047560593
-24_-40,-24,-40,0.0414141143289709,CHEES_-35_5000.csv,-35,5000,0.0387097429368616,0.0973573701159358
-22_-48,-22,-48,0.0415070799876051,CHEES_-35_4900.csv,-35,4900,0.0398036480766884,0.0613235487929982
-26_-38,-26,-38,0.0415416099582472,CHEES_-35_5000.csv,-35,5000,0.0385611682237165,0.107295902443107
-30_-36,-30,-36,0.0416300582358462,CHEES_-35_5000.csv,-35,5000,0.0383196129730319,0.119176029461315
-22_-50,-22,-50,0.0417546217869679,CHEES_-35_4900.csv,-35,4900,0.0401728783914247,0.0569427622395534
-24_-42,-24,-42,0.041763744245352,CHEES_-35_4900.csv,-35,4900,0.039590659570117,0.0782310483084603
-28_-37,-28,-37,0.0417689185172122,CHEES_-35_5000.csv,-35,5000,0.0386410346024227,0.112603820932422
-22_-52,-22,-52,0.0418960653893087,CHEES_-35_4800.csv,-35,4800,0.0406168978664723,0.0460500308221087
-22_-54,-22,-54,0.0420133837242858,CHEES_-35_4800.csv,-35,4800,0.040813270014328,0.0432040935584837
-24_-44,-24,-44,0.042084331867215,CHEES_-35_4900.csv,-35,4900,0.0401129559421952,0.0709695333007147
-22_-56,-22,-56,0.0421194764607276,CHEES_-35_4800.csv,-35,4800,0.0409858156325486,0.0408117898144453
-22_-58,-22,-58,0.0423043698288373,CHEES_-35_4800.csv,-35,4800,0.0412261030149564,0.0388176052997137
-26_-40,-26,-40,0.0423391287754589,CHEES_-35_5000.csv,-35,5000,0.0396761975704289,0.0958655233810805
-22_-60,-22,-60,0.0424388007056156,CHEES_-35_4800.csv,-35,4800,0.0414068146284374,0.0371514987784146
-24_-46,-24,-46,0.0424624765733993,CHEES_-35_4900.csv,-35,4900,0.0406561928957062,0.0650262123969519
-28_-38,-28,-38,0.0424996773121714,CHEES_-35_5000.csv,-35,5000,0.039564672965991,0.105660156462495
-24_-48,-24,-48,0.0428525560852058,CHEES_-35_4900.csv,-35,4900,0.0411872214984519,0.0599520451231383
-30_-37,-30,-37,0.0429426101574346,CHEES_-35_5000.csv,-35,5000,0.0398732863937653,0.110495655492096
-26_-42,-26,-42,0.0429826793343198,CHEES_-35_4900.csv,-35,4900,0.0408550682523301,0.0765939989516304
-24_-50,-24,-50,0.0431541329880204,CHEES_-35_4900.csv,-35,4900,0.0416102851169163,0.0555785233597476
-24_-52,-24,-52,0.0434720631997341,CHEES_-35_4800.csv,-35,4800,0.0422270541806175,0.0448203246881974
-26_-44,-26,-44,0.043515828429373,CHEES_-35_4900.csv,-35,4900,0.0415897279753837,0.0693396163436141
-24_-54,-24,-54,0.0436194852729168,CHEES_-35_4800.csv,-35,4800,0.0424539530938711,0.0419591584456441
-28_-40,-28,-40,0.0437343875920812,CHEES_-35_5000.csv,-35,5000,0.0411272620016128,0.0938565212568628
-24_-56,-24,-56,0.0438389276406767,CHEES_-35_4800.csv,-35,4800,0.0427376878619752,0.0396446320332522
-24_-58,-24,-58,0.0439953585743202,CHEES_-35_4800.csv,-35,4800,0.0429496763772934,0.0376445590929671
-30_-38,-30,-38,0.0440705786516819,CHEES_-35_5000.csv,-35,5000,0.0412075263965769,0.103069881183779
-26_-46,-26,-46,0.0440950927331479,CHEES_-35_4900.csv,-35,4900,0.0423356561882966,0.0633397156146481
-24_-60,-24,-60,0.044196274867303,CHEES_-35_4800.csv,-35,4800,0.0431958278786856,0.0360160915902256
-26_-48,-26,-48,0.0445706934569212,CHEES_-35_4900.csv,-35,4900,0.0429524014666287,0.0582585116505271
-28_-42,-28,-42,0.0447703307934227,CHEES_-35_4900.csv,-35,4900,0.0427003694373958,0.0745186088169678
-26_-50,-26,-50,0.0450161095011563,CHEES_-35_4900.csv,-35,4900,0.0435173907028586,0.0539538767387174
-26_-52,-26,-52,0.0453864059638304,CHEES_-35_4900.csv,-35,4900,0.0439896816386041,0.0502820757081484
-28_-44,-28,-44,0.0455624817954522,CHEES_-35_4900.csv,-35,4900,0.0436962581168128,0.0671840524310199
-26_-54,-26,-54,0.0456858891471027,CHEES_-35_4800.csv,-35,4800,0.0445609418851093,0.0404981014317631
-26_-56,-26,-56,0.0459003828891102,CHEES_-35_4800.csv,-35,4800,0.0448396066433575,0.0381879448470971
-30_-40,-30,-40,0.0459763692880465,CHEES_-35_5000.csv,-35,5000,0.0434510718847892,0.0909107065172619
-26_-58,-26,-58,0.046129932407211,CHEES_-35_4800.csv,-35,4800,0.0451219088603107,0.0362888476884095
-28_-46,-28,-46,0.0463304696929883,CHEES_-35_4900.csv,-35,4900,0.0446292475489051,0.0612439971869979
-26_-60,-26,-60,0.0463804441603967,CHEES_-35_4800.csv,-35,4800,0.0454155087101175,0.0347376762100513
-28_-48,-28,-48,0.0469915356542414,CHEES_-35_4900.csv,-35,4900,0.0454284298683658,0.056271808291521
-10_-34,-10,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-12_-34,-12,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-14_-34,-14,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-16_-34,-16,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-18_-34,-18,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-20_-34,-20,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-22_-34,-22,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-24_-34,-24,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-26_-34,-26,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-28_-34,-28,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-30_-34,-30,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-5_-34,-5,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-6_-34,-6,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-7_-34,-7,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-8_-34,-8,-34,0.0470601728175242,CHEES_-34_5100.csv,-34,5100,0.0432649150206362,0.136629280687966
-28_-50,-28,-50,0.0475145409386367,CHEES_-35_4900.csv,-35,4900,0.0460706553842472,0.051979879958022
-30_-42,-30,-42,0.047529591880598,CHEES_-35_5000.csv,-35,5000,0.0452720362572063,0.081272002442099
-28_-52,-28,-52,0.048008375489647,CHEES_-35_4900.csv,-35,4900,0.0466633845448937,0.0484196740111199
-28_-54,-28,-54,0.0483835486611019,CHEES_-35_4900.csv,-35,4900,0.0471232994501319,0.0453689715949205
-28_-56,-28,-56,0.0486743240743284,CHEES_-35_4800.csv,-35,4800,0.0476585948969046,0.0365662503872584
-30_-44,-30,-44,0.0487114117439415,CHEES_-35_4900.csv,-35,4900,0.0469222045213896,0.0644114600118656
-28_-58,-28,-58,0.0489479686491321,CHEES_-35_4800.csv,-35,4800,0.0479828455608481,0.0347444311782228
-28_-60,-28,-60,0.0492054770218309,CHEES_-35_4800.csv,-35,4800,0.0482815108813089,0.033262781058789
-30_-46,-30,-46,0.0496967081593889,CHEES_-35_4900.csv,-35,4900,0.0480699870158614,0.0585619611669925
-30_-48,-30,-48,0.0505028481404512,CHEES_-35_4900.csv,-35,4900,0.0490111193917234,0.0537022349542019
-30_-50,-30,-50,0.0511381334493425,CHEES_-35_4900.csv,-35,4900,0.0497608784703435,0.0495811792439662
-30_-52,-30,-52,0.0516662505771323,CHEES_-35_4900.csv,-35,4900,0.0503862135702236,0.0460813322487117
-30_-54,-30,-54,0.0521341426022842,CHEES_-35_4900.csv,-35,4900,0.050933014597169,0.0432406081841462
-30_-56,-30,-56,0.0525062554167929,CHEES_-35_4800.csv,-35,4800,0.0515433177681108,0.0346657553525569
-30_-58,-30,-58,0.0528118160146375,CHEES_-35_4800.csv,-35,4800,0.0518955910424961,0.0329840989970908
-30_-60,-30,-60,0.053034517612392,CHEES_-35_4800.csv,-35,4800,0.0521571673694384,0.0315846087463284
-10_-32,-10,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-12_-32,-12,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-14_-32,-14,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-16_-32,-16,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-18_-32,-18,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-20_-32,-20,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-22_-32,-22,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-24_-32,-24,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-26_-32,-26,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-28_-32,-28,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-30_-32,-30,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-5_-32,-5,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-6_-32,-6,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-7_-32,-7,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
-8_-32,-8,-32,0.0648836029859523,CHEES_-32_5300.csv,-32,5300,0.0607039486628883,0.150467555630305
